Epoch  65 [Hybrid] | Train L1: 0.0528 | Val Center: 0.0147 Val L1: 0.0522
Epoch  66 [Hybrid] | Train L1: 0.0536 | Val Center: 0.0163 Val L1: 0.0523
Epoch  67 [Hybrid] | Train L1: 0.0522 | Val Center: 0.0138 Val L1: 0.0521
Epoch  68 [Hybrid] | Train L1: 0.0526 | Val Center: 0.0142 Val L1: 0.0522
Epoch  69 [Hybrid] | Train L1: 0.0536 | Val Center: 0.0158 Val L1: 0.0519
Epoch  70 [Hybrid] | Train L1: 0.0526 | Val Center: 0.0177 Val L1: 0.0535
Epoch  71 [Hybrid] | Train L1: 0.0516 | Val Center: 0.0146 Val L1: 0.0518
Epoch  72 [Hybrid] | Train L1: 0.0511 | Val Center: 0.0125 Val L1: 0.0511
Epoch  73 [Hybrid] | Train L1: 0.0516 | Val Center: 0.0133 Val L1: 0.0517
Epoch  74 [Hybrid] | Train L1: 0.0514 | Val Center: 0.0124 Val L1: 0.0511
Epoch  75 [Hybrid] | Train L1: 0.0520 | Val Center: 0.0150 Val L1: 0.0513
Epoch  76 [Hybrid] | Train L1: 0.0519 | Val Center: 0.0137 Val L1: 0.0513
Epoch  77 [Hybrid] | Train L1: 0.0511 | Val Center: 0.0159 Val L1: 0.0515
Epoch  78 [Hybrid] | Train L1: 0.0514 | Val Center: 0.0186 Val L1: 0.0528
Epoch  79 [Hybrid] | Train L1: 0.0540 | Val Center: 0.0206 Val L1: 0.0540
Epoch  80 [Hybrid] | Train L1: 0.0521 | Val Center: 0.0142 Val L1: 0.0519
Epoch  81 [Hybrid] | Train L1: 0.0515 | Val Center: 0.0142 Val L1: 0.0515
Epoch  82 [Hybrid] | Train L1: 0.0508 | Val Center: 0.0152 Val L1: 0.0523
Epoch  83 [Hybrid] | Train L1: 0.0520 | Val Center: 0.0215 Val L1: 0.0555
Epoch  84 [Hybrid] | Train L1: 0.0522 | Val Center: 0.0189 Val L1: 0.0546
Epoch  85 [Hybrid] | Train L1: 0.0507 | Val Center: 0.0156 Val L1: 0.0522
Epoch  86 [Hybrid] | Train L1: 0.0510 | Val Center: 0.0131 Val L1: 0.0512
Epoch  87 [Hybrid] | Train L1: 0.0510 | Val Center: 0.0140 Val L1: 0.0514
Epoch  88 [Hybrid] | Train L1: 0.0510 | Val Center: 0.0168 Val L1: 0.0519
Epoch  89 [Hybrid] | Train L1: 0.0520 | Val Center: 0.0137 Val L1: 0.0520
Epoch  90 [Hybrid] | Train L1: 0.0528 | Val Center: 0.0137 Val L1: 0.0516
Epoch  91 [Hybrid] | Train L1: 0.0513 | Val Center: 0.0158 Val L1: 0.0522
Epoch  92 [Hybrid] | Train L1: 0.0509 | Val Center: 0.0125 Val L1: 0.0512
Epoch  93 [Hybrid] | Train L1: 0.0515 | Val Center: 0.0131 Val L1: 0.0516
Epoch  94 [Hybrid] | Train L1: 0.0522 | Val Center: 0.0169 Val L1: 0.0522
Epoch  95 [Hybrid] | Train L1: 0.0517 | Val Center: 0.0142 Val L1: 0.0514
Epoch  96 [Hybrid] | Train L1: 0.0504 | Val Center: 0.0122 Val L1: 0.0510
Epoch  97 [Hybrid] | Train L1: 0.0510 | Val Center: 0.0123 Val L1: 0.0512
Epoch  98 [Hybrid] | Train L1: 0.0505 | Val Center: 0.0133 Val L1: 0.0518
Epoch  99 [Hybrid] | Train L1: 0.0503 | Val Center: 0.0114 Val L1: 0.0508
Epoch 100 [Hybrid] | Train L1: 0.0499 | Val Center: 0.0110 Val L1: 0.0507
Epoch 101 [Hybrid] | Train L1: 0.0504 | Val Center: 0.0145 Val L1: 0.0523
Epoch 102 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0110 Val L1: 0.0511
Epoch 103 [Hybrid] | Train L1: 0.0504 | Val Center: 0.0140 Val L1: 0.0520
Epoch 104 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0106 Val L1: 0.0505
Epoch 105 [Hybrid] | Train L1: 0.0501 | Val Center: 0.0115 Val L1: 0.0510
Epoch 106 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0116 Val L1: 0.0508
Epoch 107 [Hybrid] | Train L1: 0.0504 | Val Center: 0.0108 Val L1: 0.0504
Epoch 108 [Hybrid] | Train L1: 0.0500 | Val Center: 0.0122 Val L1: 0.0510
Epoch 109 [Hybrid] | Train L1: 0.0499 | Val Center: 0.0112 Val L1: 0.0509
Epoch 110 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0111 Val L1: 0.0506
Epoch 111 [Hybrid] | Train L1: 0.0501 | Val Center: 0.0107 Val L1: 0.0505
Epoch 112 [Hybrid] | Train L1: 0.0501 | Val Center: 0.0103 Val L1: 0.0504
Epoch 113 [Hybrid] | Train L1: 0.0504 | Val Center: 0.0111 Val L1: 0.0507
Epoch 114 [Hybrid] | Train L1: 0.0501 | Val Center: 0.0106 Val L1: 0.0505
Epoch 115 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0119 Val L1: 0.0510
Epoch 116 [Hybrid] | Train L1: 0.0504 | Val Center: 0.0122 Val L1: 0.0513
Epoch 117 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0113 Val L1: 0.0509
Epoch 118 [Hybrid] | Train L1: 0.0501 | Val Center: 0.0116 Val L1: 0.0509
Epoch 119 [Hybrid] | Train L1: 0.0501 | Val Center: 0.0114 Val L1: 0.0507
