Run: results/run_20260410_175156
Device: mps  |  Trainable params: 2,516,108
Config: LR=0.0003  WD=0  BS=4  AUGMENT=False  Epochs=300  Warmup=5
------------------------------------------------------------------------------------------
Epoch  32 [Hybrid ] | Train: tot=0.1120 ctr=0.0162 sz=0.0471 l1=0.0568 | Val: tot=0.1180 ctr=0.0168 sz=0.0493 l1=0.0603 | 5.4s
Epoch  33 [Hybrid ] | Train: tot=0.1110 ctr=0.0164 sz=0.0463 l1=0.0566 | Val: tot=0.1176 ctr=0.0164 sz=0.0491 l1=0.0604 | 5.5s
Epoch  34 [Hybrid ] | Train: tot=0.1119 ctr=0.0168 sz=0.0465 l1=0.0570 | Val: tot=0.1201 ctr=0.0185 sz=0.0498 l1=0.0610 | 5.5s
Epoch  35 [Hybrid ] | Train: tot=0.1125 ctr=0.0168 sz=0.0468 l1=0.0573 | Val: tot=0.1181 ctr=0.0169 sz=0.0484 l1=0.0612 | 5.7s
Epoch  36 [Hybrid ] | Train: tot=0.1125 ctr=0.0175 sz=0.0471 l1=0.0567 | Val: tot=0.1227 ctr=0.0221 sz=0.0477 l1=0.0640 | 5.3s
Epoch  37 [Hybrid ] | Train: tot=0.1100 ctr=0.0157 sz=0.0465 l1=0.0557 | Val: tot=0.1255 ctr=0.0249 sz=0.0488 l1=0.0642 | 5.3s
Epoch  38 [Hybrid ] | Train: tot=0.1108 ctr=0.0167 sz=0.0457 l1=0.0567 | Val: tot=0.1198 ctr=0.0189 sz=0.0484 l1=0.0619 | 5.9s
Epoch  39 [Hybrid ] | Train: tot=0.1116 ctr=0.0176 sz=0.0459 l1=0.0569 | Val: tot=0.1168 ctr=0.0157 sz=0.0507 l1=0.0583 | 6.3s
Epoch  40 [Hybrid ] | Train: tot=0.1215 ctr=0.0254 sz=0.0455 l1=0.0634 | Val: tot=0.1503 ctr=0.0448 sz=0.0491 l1=0.0788 | 5.4s
Epoch  41 [Hybrid ] | Train: tot=0.1220 ctr=0.0252 sz=0.0462 l1=0.0632 | Val: tot=0.1178 ctr=0.0164 sz=0.0481 l1=0.0616 | 5.3s
Epoch  42 [Hybrid ] | Train: tot=0.1097 ctr=0.0150 sz=0.0455 l1=0.0567 | Val: tot=0.1199 ctr=0.0194 sz=0.0473 l1=0.0629 | 5.4s
Epoch  43 [Hybrid ] | Train: tot=0.1080 ctr=0.0152 sz=0.0450 l1=0.0554 | Val: tot=0.1187 ctr=0.0174 sz=0.0490 l1=0.0611 | 6.6s
Epoch  44 [Hybrid ] | Train: tot=0.1092 ctr=0.0166 sz=0.0452 l1=0.0557 | Val: tot=0.1165 ctr=0.0166 sz=0.0490 l1=0.0592 | 6.8s
Epoch  45 [Hybrid ] | Train: tot=0.1073 ctr=0.0165 sz=0.0435 l1=0.0556 | Val: tot=0.1299 ctr=0.0296 sz=0.0469 l1=0.0682 | 5.8s
Epoch  46 [Hybrid ] | Train: tot=0.1160 ctr=0.0243 sz=0.0440 l1=0.0599 | Val: tot=0.1176 ctr=0.0181 sz=0.0479 l1=0.0607 | 5.4s
Epoch  47 [Hybrid ] | Train: tot=0.1085 ctr=0.0171 sz=0.0436 l1=0.0563 | Val: tot=0.1182 ctr=0.0189 sz=0.0476 l1=0.0611 | 5.4s
Epoch  48 [Hybrid ] | Train: tot=0.1111 ctr=0.0165 sz=0.0445 l1=0.0583 | Val: tot=0.1152 ctr=0.0149 sz=0.0477 l1=0.0600 | 5.6s
Epoch  49 [Hybrid ] | Train: tot=0.1104 ctr=0.0181 sz=0.0443 l1=0.0571 | Val: tot=0.1308 ctr=0.0312 sz=0.0487 l1=0.0665 | 5.4s
Epoch  50 [Hybrid ] | Train: tot=0.1088 ctr=0.0193 sz=0.0434 l1=0.0558 | Val: tot=0.1189 ctr=0.0202 sz=0.0484 l1=0.0604 | 5.4s
Epoch  51 [Hybrid ] | Train: tot=0.1052 ctr=0.0160 sz=0.0429 l1=0.0543 | Val: tot=0.1151 ctr=0.0167 sz=0.0480 l1=0.0587 | 5.4s
Epoch  52 [Hybrid ] | Train: tot=0.1044 ctr=0.0150 sz=0.0425 l1=0.0544 | Val: tot=0.1150 ctr=0.0154 sz=0.0472 l1=0.0601 | 5.6s
Epoch  53 [Hybrid ] | Train: tot=0.1035 ctr=0.0145 sz=0.0420 l1=0.0543 | Val: tot=0.1138 ctr=0.0143 sz=0.0480 l1=0.0586 | 5.4s
Epoch  54 [Hybrid ] | Train: tot=0.1068 ctr=0.0163 sz=0.0426 l1=0.0560 | Val: tot=0.1183 ctr=0.0169 sz=0.0477 l1=0.0622 | 5.4s
Epoch  55 [Hybrid ] | Train: tot=0.1084 ctr=0.0161 sz=0.0424 l1=0.0580 | Val: tot=0.1156 ctr=0.0152 sz=0.0478 l1=0.0603 | 5.4s
Epoch  56 [Hybrid ] | Train: tot=0.1050 ctr=0.0161 sz=0.0415 l1=0.0555 | Val: tot=0.1194 ctr=0.0206 sz=0.0484 l1=0.0606 | 5.6s
Epoch  57 [Hybrid ] | Train: tot=0.1064 ctr=0.0166 sz=0.0419 l1=0.0563 | Val: tot=0.1252 ctr=0.0258 sz=0.0470 l1=0.0653 | 6.2s
Epoch  58 [Hybrid ] | Train: tot=0.1079 ctr=0.0194 sz=0.0417 l1=0.0566 | Val: tot=0.1206 ctr=0.0210 sz=0.0466 l1=0.0634 | 6.7s
Epoch  59 [Hybrid ] | Train: tot=0.1045 ctr=0.0168 sz=0.0412 l1=0.0550 | Val: tot=0.1187 ctr=0.0189 sz=0.0476 l1=0.0617 | 7.1s
